El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo y sexo
Año;Periodos;Hombres;Mujeres;
2010;Anual;89.161;84.417;
2011;Anual;92.892;89.692;
2012;Anual;88.462;90.388;
2013;Anual;82.717;95.434;
2014;Anual;79.972;94.771;
2015;Anual;68.561;88.455;
2016;Anual;66.709;83.772;
2017;Anual;68.835;85.986;
2018;Anual;71.255;87.203;
2019;Anual;74.485;89.433;
2020;Anual;82.097;105.967;
2021;Anual;80.146;109.796;
2022;Anual;82.908;110.411;
2023;Anual;86.328;113.361;
