El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Chamartín;Madrid;
2013;Anual;36;39;
2014;Anual;32,4;39,2;
2015;Anual;32,6;39,9;
2016;Anual;36,8;40,8;
2017;Anual;38,6;42,1;
2018;Anual;38,2;42,8;
2019;Anual;39,4;43,9;
2020;Anual;39,5;44,1;
2021;Anual;40;43,4;
2022;Anual;41;45,4;
2023;Anual;40,9;45,9;
