El municipio en cifras
Población
Año;Periodos;Chamartín;
1987;Anual;150133;
1988;Anual;150799;
1989;Anual;152065;
1990;Anual;152996;
1991;Anual;145662;
1992;Anual;146214;
1993;Anual;147679;
1994;Anual;149073;
1995;Anual;148960;
1996;Anual;135301;
1997;Anual;136402;
1998;Anual;137503;
1999;Anual;137706;
2000;Anual;136967;
2001;Anual;138941;
2002;Anual;139987;
2003;Anual;142626;
2004;Anual;142735;
2005;Anual;141302;
2006;Anual;142045;
2007;Anual;143778;
2008;Anual;145088;
2009;Anual;146347;
2010;Anual;146358;
2011;Anual;146117;
2012;Anual;145162;
2013;Anual;144546;
2014;Anual;142684;
2015;Anual;141435;
2016;Anual;142610;
2017;Anual;143424;
2018;Anual;144894;
2019;Anual;145865;
2020;Anual;147551;
2021;Anual;145700;
2022;Anual;144371;
2023;Anual;144796;
2024;Anual;148111;
2025;Anual;149654;
