El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Chamartín;
2010;Anual;173578;
2011;Anual;182584;
2012;Anual;178850;
2013;Anual;178151;
2014;Anual;174743;
2015;Anual;157016;
2016;Anual;150481;
2017;Anual;154821;
2018;Anual;158458;
2019;Anual;163918;
2020;Anual;188064;
2021;Anual;189942;
2022;Anual;193319;
2023;Anual;199689;
