El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Chamartín;
2010;Anual;9470;
2011;Anual;9460;
2012;Anual;8267;
2013;Anual;8516;
2014;Anual;9317;
2015;Anual;9419;
2016;Anual;9312;
2017;Anual;10007;
2018;Anual;8204;
2019;Anual;11013;
2020;Anual;11316;
2021;Anual;11026;
2022;Anual;10980;
2023;Anual;11152;
