El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;San Blas - Canillejas;
2013;Anual;57549;
2014;Anual;51039;
2015;Anual;51521;
2016;Anual;58515;
2017;Anual;61457;
2018;Anual;62503;
2019;Anual;64692;
2020;Anual;66192;
2021;Anual;65540;
2022;Anual;67767;
2023;Anual;67857;
