El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;6.218;6.080;
2013;Enero;6.510;6.303;
2013;Febrero;6.619;6.375;
2013;Marzo;6.685;6.466;
2013;Abril;6.568;6.498;
2013;Mayo;6.506;6.470;
2013;Junio;6.294;6.279;
2013;Julio;6.251;6.352;
2013;Agosto;6.252;6.404;
2013;Septiembre;6.337;6.406;
2013;Octubre;6.399;6.525;
2013;Noviembre;6.338;6.465;
2013;Diciembre;6.247;6.234;
2014;Enero;6.350;6.339;
2014;Febrero;6.411;6.390;
2014;Marzo;6.377;6.321;
2014;Abril;6.273;6.271;
2014;Mayo;6.176;6.091;
2014;Junio;5.933;6.045;
2014;Julio;5.929;6.159;
2014;Agosto;5.976;6.238;
2014;Septiembre;6.020;6.195;
2014;Octubre;6.093;6.223;
2014;Noviembre;5.983;6.168;
2014;Diciembre;5.849;5.948;
2015;Enero;5.960;6.110;
2015;Febrero;6.035;6.137;
2015;Marzo;5.886;6.229;
2015;Abril;5.765;6.149;
2015;Mayo;5.501;6.024;
2015;Junio;5.312;5.909;
2015;Julio;5.177;5.916;
2015;Agosto;5.271;6.033;
2015;Septiembre;5.374;5.905;
2015;Octubre;5.477;5.936;
2015;Noviembre;5.401;5.880;
2015;Diciembre;5.332;5.786;
2016;Enero;5.457;5.846;
2016;Febrero;5.495;5.852;
2016;Marzo;5.390;5.805;
2016;Abril;5.327;5.802;
2016;Mayo;5.118;5.658;
2016;Junio;4.940;5.655;
2016;Julio;4.751;5.721;
2016;Agosto;4.713;5.746;
2016;Septiembre;4.812;5.702;
2016;Octubre;4.780;5.623;
2016;Noviembre;4.756;5.514;
2016;Diciembre;4.708;5.340;
2017;Enero;4.805;5.504;
2017;Febrero;4.867;5.589;
2017;Marzo;4.797;5.547;
2017;Abril;4.610;5.471;
2017;Mayo;4.397;5.359;
2017;Junio;4.300;5.349;
2017;Julio;4.205;5.400;
2017;Agosto;4.204;5.458;
2017;Septiembre;4.251;5.446;
2017;Octubre;4.227;5.386;
2017;Noviembre;4.188;5.257;
2017;Diciembre;4.109;5.060;
2018;Enero;4.256;5.287;
2018;Febrero;4.268;5.344;
2018;Marzo;4.136;5.275;
2018;Abril;4.092;5.225;
2018;Mayo;3.933;5.105;
2018;Junio;3.786;4.942;
2018;Julio;3.673;4.962;
2018;Agosto;3.751;5.019;
2018;Septiembre;3.801;4.968;
2018;Octubre;3.810;4.941;
2018;Noviembre;3.775;4.842;
2018;Diciembre;3.669;4.704;
2019;Enero;3.805;4.934;
2019;Febrero;3.844;4.962;
2019;Marzo;3.846;5.003;
2019;Abril;3.771;4.887;
2019;Mayo;3.672;4.810;
2019;Junio;3.567;4.787;
2019;Julio;3.543;4.819;
2019;Agosto;3.630;4.924;
2019;Septiembre;3.683;4.812;
2019;Octubre;3.743;4.831;
2019;Noviembre;3.755;4.781;
2019;Diciembre;3.687;4.647;
2020;Enero;3.854;4.829;
2020;Febrero;3.894;4.853;
2020;Marzo;4.033;4.997;
2020;Abril;4.518;5.488;
2020;Mayo;4.696;5.772;
2020;Junio;4.594;5.865;
2020;Julio;4.586;6.029;
2020;Agosto;4.672;6.160;
2020;Septiembre;4.645;6.057;
2020;Octubre;4.723;6.151;
2020;Noviembre;4.731;6.198;
2020;Diciembre;4.810;6.196;
2021;Enero;4.959;6.276;
2021;Febrero;5.026;6.448;
2021;Marzo;5.008;6.380;
2021;Abril;4.951;6.359;
2021;Mayo;4.838;6.209;
2021;Junio;4.648;6.182;
2021;Julio;4.524;6.105;
2021;Agosto;4.530;6.142;
2021;Septiembre;4.447;5.977;
2021;Octubre;4.304;5.817;
2021;Noviembre;4.187;5.657;
2021;Diciembre;3.913;5.229;
2022;Enero;3.847;5.256;
2022;Febrero;3.608;4.985;
2022;Marzo;3.541;4.991;
2022;Abril;3.439;4.886;
2022;Mayo;3.296;4.698;
2022;Junio;3.132;4.541;
2022;Julio;3.231;4.643;
2022;Agosto;3.231;4.643;
2022;Septiembre;3.279;4.697;
2022;Octubre;3.300;4.707;
2022;Noviembre;3.226;4.679;
2022;Diciembre;3.172;4.558;
2023;Enero;3.345;4.615;
2023;Febrero;3.384;4.706;
2023;Marzo;3.382;4.736;
2023;Abril;3.314;4.654;
2023;Mayo;3.275;4.597;
2023;Junio;3.146;4.529;
2023;Julio;3.148;4.521;
2023;Agosto;3.217;4.527;
2023;Septiembre;3.187;4.579;
2023;Octubre;3.220;4.576;
2023;Noviembre;3.143;4.461;
2023;Diciembre;3.141;4.435;
2024;Enero;3.258;4.589;
2024;Febrero;3.241;4.556;
2024;Marzo;3.288;4.602;
2024;Abril;3.228;4.543;
2024;Mayo;3.179;4.462;
2024;Junio;3.046;4.367;
2024;Julio;3.048;4.327;
2024;Agosto;3.069;4.333;
2024;Septiembre;3.127;4.360;
2024;Octubre;3.117;4.439;
2024;Noviembre;2.838;4.024;
2024;Diciembre;3.105;4.085;
2025;Enero;3.055;4.179;
2025;Febrero;3.107;4.171;
2025;Marzo;3.178;4.430;
2025;Abril;3.207;4.404;
2025;Mayo;3.070;4.372;
2025;Junio;2.989;4.300;
2025;Julio;2.893;4.307;
2025;Agosto;2.969;4.416;
2025;Septiembre;2.961;4.362;
2025;Octubre;2.967;4.394;
2025;Noviembre;2.879;4.279;
2025;Diciembre;2.907;4.212;
2026;Enero;2.914;4.308;
2026;Febrero;2.987;4.385;
