El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;San Blas - Canillejas;
2010;Anual;85173;
2011;Anual;93254;
2012;Anual;93322;
2013;Anual;93636;
2014;Anual;96150;
2015;Anual;102582;
2016;Anual;101338;
2017;Anual;105799;
2018;Anual;109905;
2019;Anual;111392;
2020;Anual;116340;
2021;Anual;118176;
2022;Anual;120451;
2023;Anual;140143;
