El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;San Blas - Canillejas;Madrid;
2013;Anual;37;39;
2014;Anual;33,3;39,2;
2015;Anual;33,8;39,9;
2016;Anual;38,1;40,8;
2017;Anual;39,8;42,1;
2018;Anual;40;42,8;
2019;Anual;40,9;43,9;
2020;Anual;41,1;44,1;
2021;Anual;40,9;43,4;
2022;Anual;42,7;45,4;
2023;Anual;42,1;45,9;
