El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;San Blas - Canillejas;
2010;Anual;4960;
2011;Anual;5002;
2012;Anual;4451;
2013;Anual;4663;
2014;Anual;5270;
2015;Anual;5613;
2016;Anual;5621;
2017;Anual;5947;
2018;Anual;4512;
2019;Anual;6650;
2020;Anual;7025;
2021;Anual;6783;
2022;Anual;6610;
2023;Anual;6645;
