El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Centro;Madrid;
2013;Anual;28875,7547721699;36591,6633285965;
2014;Anual;28927,53;37231,15;
2015;Anual;31377,8363600128;38534,6170377993;
2016;Anual;32458;39613;
2017;Anual;33473;40195;
2018;Anual;36072;42283;
2019;Anual;38171;43393;
2020;Anual;36984;43003;
2021;Anual;38360;43953;
2022;Anual;41059;46651;
