El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Centro;
2010;Anual;13014;
2011;Anual;13021;
2012;Anual;10911;
2013;Anual;11533;
2014;Anual;13182;
2015;Anual;13798;
2016;Anual;13656;
2017;Anual;14911;
2018;Anual;10714;
2019;Anual;16217;
2020;Anual;16771;
2021;Anual;16172;
2022;Anual;16076;
2023;Anual;16160;
