El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Centro;
2010;Anual;160902;
2011;Anual;162230;
2012;Anual;149574;
2013;Anual;142415;
2014;Anual;141493;
2015;Anual;141679;
2016;Anual;139968;
2017;Anual;139414;
2018;Anual;139696;
2019;Anual;149351;
2020;Anual;153110;
2021;Anual;138787;
2022;Anual;147254;
2023;Anual;154317;
