El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Centro;Madrid;
2013;Anual;38;39;
2014;Anual;33,8;39,2;
2015;Anual;34;39,9;
2016;Anual;39,1;40,8;
2017;Anual;42,8;42,1;
2018;Anual;42,3;42,8;
2019;Anual;42,7;43,9;
2020;Anual;42,2;44,1;
2021;Anual;43;43,4;
2022;Anual;45,1;45,4;
2023;Anual;44,5;45,9;
