El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Centro;
2013;Anual;52627;
2014;Anual;45408;
2015;Anual;44572;
2016;Anual;51809;
2017;Anual;56480;
2018;Anual;56027;
2019;Anual;57583;
2020;Anual;59307;
2021;Anual;60706;
2022;Anual;62927;
2023;Anual;62093;
