El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Tetuán;
2010;Anual;8532;
2011;Anual;8640;
2012;Anual;7472;
2013;Anual;7694;
2014;Anual;8448;
2015;Anual;8745;
2016;Anual;8548;
2017;Anual;9198;
2018;Anual;6920;
2019;Anual;9924;
2020;Anual;10246;
2021;Anual;9930;
2022;Anual;9810;
2023;Anual;9963;
