El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;6.148;6.084;
2013;Enero;6.279;6.234;
2013;Febrero;6.329;6.326;
2013;Marzo;6.397;6.363;
2013;Abril;6.334;6.359;
2013;Mayo;6.203;6.282;
2013;Junio;6.086;6.169;
2013;Julio;6.006;6.183;
2013;Agosto;6.022;6.259;
2013;Septiembre;6.130;6.251;
2013;Octubre;6.283;6.323;
2013;Noviembre;6.294;6.230;
2013;Diciembre;6.134;6.019;
2014;Enero;6.123;6.189;
2014;Febrero;6.119;6.219;
2014;Marzo;6.158;6.253;
2014;Abril;6.007;6.125;
2014;Mayo;5.802;5.966;
2014;Junio;5.595;5.882;
2014;Julio;5.578;5.951;
2014;Agosto;5.585;6.058;
2014;Septiembre;5.600;5.885;
2014;Octubre;5.617;5.926;
2014;Noviembre;5.611;5.917;
2014;Diciembre;5.499;5.784;
2015;Enero;5.514;5.897;
2015;Febrero;5.625;5.977;
2015;Marzo;5.592;5.984;
2015;Abril;5.427;5.867;
2015;Mayo;5.244;5.648;
2015;Junio;5.100;5.483;
2015;Julio;4.953;5.560;
2015;Agosto;4.873;5.626;
2015;Septiembre;4.945;5.499;
2015;Octubre;5.026;5.590;
2015;Noviembre;4.976;5.521;
2015;Diciembre;4.869;5.379;
2016;Enero;5.011;5.492;
2016;Febrero;5.053;5.444;
2016;Marzo;5.013;5.436;
2016;Abril;4.950;5.397;
2016;Mayo;4.777;5.291;
2016;Junio;4.562;5.215;
2016;Julio;4.429;5.281;
2016;Agosto;4.409;5.302;
2016;Septiembre;4.383;5.176;
2016;Octubre;4.435;5.221;
2016;Noviembre;4.487;5.259;
2016;Diciembre;4.411;5.060;
2017;Enero;4.492;5.067;
2017;Febrero;4.553;5.232;
2017;Marzo;4.491;5.179;
2017;Abril;4.326;5.008;
2017;Mayo;4.206;4.905;
2017;Junio;4.091;4.863;
2017;Julio;4.048;4.903;
2017;Agosto;4.151;4.943;
2017;Septiembre;4.037;4.903;
2017;Octubre;3.986;4.888;
2017;Noviembre;3.978;4.850;
2017;Diciembre;3.906;4.665;
2018;Enero;4.020;4.814;
2018;Febrero;4.017;4.810;
2018;Marzo;4.026;4.772;
2018;Abril;3.905;4.706;
2018;Mayo;3.719;4.539;
2018;Junio;3.604;4.469;
2018;Julio;3.536;4.484;
2018;Agosto;3.525;4.542;
2018;Septiembre;3.506;4.488;
2018;Octubre;3.504;4.434;
2018;Noviembre;3.470;4.326;
2018;Diciembre;3.435;4.234;
2019;Enero;3.527;4.420;
2019;Febrero;3.595;4.497;
2019;Marzo;3.549;4.530;
2019;Abril;3.514;4.454;
2019;Mayo;3.419;4.384;
2019;Junio;3.375;4.390;
2019;Julio;3.290;4.317;
2019;Agosto;3.396;4.454;
2019;Septiembre;3.424;4.473;
2019;Octubre;3.509;4.555;
2019;Noviembre;3.514;4.501;
2019;Diciembre;3.515;4.448;
2020;Enero;3.608;4.536;
2020;Febrero;3.623;4.570;
2020;Marzo;3.798;4.721;
2020;Abril;4.258;5.198;
2020;Mayo;4.329;5.342;
2020;Junio;4.321;5.480;
2020;Julio;4.468;5.727;
2020;Agosto;4.534;5.797;
2020;Septiembre;4.533;5.691;
2020;Octubre;4.595;5.768;
2020;Noviembre;4.624;5.769;
2020;Diciembre;4.613;5.728;
2021;Enero;4.663;5.836;
2021;Febrero;4.715;5.954;
2021;Marzo;4.688;5.923;
2021;Abril;4.645;5.896;
2021;Mayo;4.519;5.776;
2021;Junio;4.391;5.668;
2021;Julio;4.235;5.588;
2021;Agosto;4.272;5.675;
2021;Septiembre;4.205;5.492;
2021;Octubre;3.997;5.318;
2021;Noviembre;3.973;5.226;
2021;Diciembre;3.726;4.789;
2022;Enero;3.571;4.669;
2022;Febrero;3.292;4.331;
2022;Marzo;3.249;4.319;
2022;Abril;3.152;4.211;
2022;Mayo;2.978;4.047;
2022;Junio;2.896;3.896;
2022;Julio;2.847;3.984;
2022;Agosto;2.847;3.984;
2022;Septiembre;2.968;3.988;
2022;Octubre;2.951;4.016;
2022;Noviembre;2.889;3.899;
2022;Diciembre;2.867;3.811;
2023;Enero;2.958;3.905;
2023;Febrero;2.995;4.024;
2023;Marzo;3.024;4.037;
2023;Abril;2.938;3.955;
2023;Mayo;2.903;3.936;
2023;Junio;2.828;3.922;
2023;Julio;2.764;3.882;
2023;Agosto;2.819;3.895;
2023;Septiembre;2.842;3.951;
2023;Octubre;2.837;3.949;
2023;Noviembre;2.829;3.871;
2023;Diciembre;2.862;3.781;
2024;Enero;2.976;3.943;
2024;Febrero;2.990;3.981;
2024;Marzo;3.015;3.986;
2024;Abril;2.877;3.876;
2024;Mayo;2.848;3.780;
2024;Junio;2.833;3.756;
2024;Julio;2.790;3.766;
2024;Agosto;2.801;3.773;
2024;Septiembre;2.791;3.748;
2024;Octubre;2.816;3.729;
2024;Noviembre;2.421;3.266;
2024;Diciembre;2.691;3.509;
2025;Enero;2.660;3.551;
2025;Febrero;2.725;3.618;
2025;Marzo;2.751;3.731;
2025;Abril;2.759;3.664;
2025;Mayo;2.643;3.589;
2025;Junio;2.562;3.555;
2025;Julio;2.585;3.518;
2025;Agosto;2.586;3.590;
2025;Septiembre;2.477;3.566;
2025;Octubre;2.532;3.602;
2025;Noviembre;2.536;3.553;
2025;Diciembre;2.547;3.508;
2026;Enero;2.616;3.586;
2026;Febrero;2.640;3.639;
