El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Tetuán;
2010;Anual;104940;
2011;Anual;96847;
2012;Anual;102829;
2013;Anual;102879;
2014;Anual;100281;
2015;Anual;105174;
2016;Anual;122133;
2017;Anual;123465;
2018;Anual;138800;
2019;Anual;159845;
2020;Anual;169157;
2021;Anual;165428;
2022;Anual;180625;
2023;Anual;200827;
