El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Tetuán;
2013;Anual;57253;
2014;Anual;50584;
2015;Anual;50109;
2016;Anual;57253;
2017;Anual;62105;
2018;Anual;62319;
2019;Anual;65163;
2020;Anual;66296;
2021;Anual;66329;
2022;Anual;68339;
2023;Anual;67638;
