El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Fuencarral - El Pardo;Madrid;
2013;Anual;45264,1235496921;36591,6633285965;
2014;Anual;46909,48;37231,15;
2015;Anual;48846,5910406659;38534,6170377993;
2016;Anual;50087;39613;
2017;Anual;50379;40195;
2018;Anual;52858;42283;
2019;Anual;54493;43393;
2020;Anual;54292;43003;
2021;Anual;55125;43953;
2022;Anual;58214;46651;
