El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Fuencarral - El Pardo;Madrid;
2013;Anual;37,4;39;
2014;Anual;33,7;39,2;
2015;Anual;33,7;39,9;
2016;Anual;37,7;40,8;
2017;Anual;38,9;42,1;
2018;Anual;38,4;42,8;
2019;Anual;39,3;43,9;
2020;Anual;39,2;44,1;
2021;Anual;39,5;43,4;
2022;Anual;40,5;45,4;
2023;Anual;40,2;45,9;
