El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;6.456;7.201;
2013;Enero;6.650;7.461;
2013;Febrero;6.725;7.426;
2013;Marzo;6.751;7.464;
2013;Abril;6.731;7.461;
2013;Mayo;6.644;7.385;
2013;Junio;6.408;7.288;
2013;Julio;6.453;7.533;
2013;Agosto;6.400;7.616;
2013;Septiembre;6.304;7.393;
2013;Octubre;6.387;7.438;
2013;Noviembre;6.412;7.345;
2013;Diciembre;6.270;7.096;
2014;Enero;6.392;7.178;
2014;Febrero;6.415;7.249;
2014;Marzo;6.447;7.194;
2014;Abril;6.322;7.103;
2014;Mayo;6.088;6.908;
2014;Junio;5.844;6.756;
2014;Julio;5.850;7.014;
2014;Agosto;5.843;7.050;
2014;Septiembre;5.819;6.892;
2014;Octubre;5.831;6.888;
2014;Noviembre;5.766;6.794;
2014;Diciembre;5.677;6.687;
2015;Enero;5.731;6.787;
2015;Febrero;5.703;6.782;
2015;Marzo;5.571;6.728;
2015;Abril;5.460;6.569;
2015;Mayo;5.297;6.426;
2015;Junio;5.079;6.426;
2015;Julio;4.981;6.505;
2015;Agosto;5.043;6.674;
2015;Septiembre;5.045;6.498;
2015;Octubre;5.131;6.512;
2015;Noviembre;5.033;6.371;
2015;Diciembre;4.899;6.172;
2016;Enero;4.936;6.265;
2016;Febrero;5.002;6.288;
2016;Marzo;4.990;6.259;
2016;Abril;4.836;6.201;
2016;Mayo;4.760;6.096;
2016;Junio;4.557;6.064;
2016;Julio;4.464;6.151;
2016;Agosto;4.514;6.296;
2016;Septiembre;4.523;6.121;
2016;Octubre;4.540;6.084;
2016;Noviembre;4.490;5.926;
2016;Diciembre;4.417;5.738;
2017;Enero;4.642;5.851;
2017;Febrero;4.579;5.860;
2017;Marzo;4.465;5.789;
2017;Abril;4.338;5.672;
2017;Mayo;4.208;5.597;
2017;Junio;4.061;5.566;
2017;Julio;4.065;5.680;
2017;Agosto;4.096;5.794;
2017;Septiembre;4.119;5.655;
2017;Octubre;4.124;5.617;
2017;Noviembre;4.055;5.494;
2017;Diciembre;4.021;5.365;
2018;Enero;4.140;5.504;
2018;Febrero;4.224;5.579;
2018;Marzo;4.109;5.460;
2018;Abril;3.998;5.357;
2018;Mayo;3.884;5.239;
2018;Junio;3.724;5.169;
2018;Julio;3.694;5.199;
2018;Agosto;3.734;5.260;
2018;Septiembre;3.738;5.250;
2018;Octubre;3.710;5.197;
2018;Noviembre;3.654;5.095;
2018;Diciembre;3.575;4.972;
2019;Enero;3.707;5.144;
2019;Febrero;3.739;5.254;
2019;Marzo;3.759;5.169;
2019;Abril;3.738;5.140;
2019;Mayo;3.635;5.091;
2019;Junio;3.554;5.045;
2019;Julio;3.579;5.126;
2019;Agosto;3.608;5.323;
2019;Septiembre;3.630;5.191;
2019;Octubre;3.705;5.210;
2019;Noviembre;3.707;5.172;
2019;Diciembre;3.701;4.990;
2020;Enero;3.785;5.113;
2020;Febrero;3.827;5.124;
2020;Marzo;3.890;5.185;
2020;Abril;4.326;5.639;
2020;Mayo;4.473;5.852;
2020;Junio;4.507;5.955;
2020;Julio;4.590;6.181;
2020;Agosto;4.676;6.312;
2020;Septiembre;4.598;6.140;
2020;Octubre;4.727;6.203;
2020;Noviembre;4.684;6.197;
2020;Diciembre;4.733;6.245;
2021;Enero;4.802;6.322;
2021;Febrero;4.844;6.427;
2021;Marzo;4.722;6.345;
2021;Abril;4.714;6.271;
2021;Mayo;4.597;6.233;
2021;Junio;4.408;6.264;
2021;Julio;4.358;6.278;
2021;Agosto;4.415;6.402;
2021;Septiembre;4.327;6.206;
2021;Octubre;4.178;6.036;
2021;Noviembre;4.113;5.850;
2021;Diciembre;3.814;5.446;
2022;Enero;3.632;5.248;
2022;Febrero;3.472;5.028;
2022;Marzo;3.474;4.989;
2022;Abril;3.356;4.877;
2022;Mayo;3.191;4.688;
2022;Junio;3.073;4.620;
2022;Julio;3.137;4.765;
2022;Agosto;3.137;4.765;
2022;Septiembre;3.130;4.712;
2022;Octubre;3.180;4.642;
2022;Noviembre;3.145;4.574;
2022;Diciembre;3.074;4.461;
2023;Enero;3.176;4.580;
2023;Febrero;3.237;4.554;
2023;Marzo;3.265;4.616;
2023;Abril;3.192;4.487;
2023;Mayo;3.093;4.443;
2023;Junio;3.073;4.455;
2023;Julio;3.113;4.471;
2023;Agosto;3.110;4.488;
2023;Septiembre;3.162;4.479;
2023;Octubre;3.189;4.457;
2023;Noviembre;3.141;4.335;
2023;Diciembre;3.139;4.282;
2024;Enero;3.161;4.401;
2024;Febrero;3.153;4.384;
2024;Marzo;3.193;4.401;
2024;Abril;3.108;4.294;
2024;Mayo;3.050;4.237;
2024;Junio;2.970;4.174;
2024;Julio;3.049;4.225;
2024;Agosto;3.105;4.301;
2024;Septiembre;3.109;4.322;
2024;Octubre;3.107;4.286;
2024;Noviembre;3.156;4.084;
2024;Diciembre;3.013;4.083;
2025;Enero;3.082;4.137;
2025;Febrero;3.057;4.199;
2025;Marzo;3.129;4.234;
2025;Abril;3.054;4.170;
2025;Mayo;2.947;4.076;
2025;Junio;2.886;3.973;
2025;Julio;2.926;4.053;
2025;Agosto;2.987;4.126;
2025;Septiembre;2.964;4.113;
2025;Octubre;2.943;4.161;
2025;Noviembre;3.012;4.071;
2025;Diciembre;2.967;4.039;
2026;Enero;2.982;4.037;
2026;Febrero;3.027;4.082;
