El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Fuencarral - El Pardo;
2010;Anual;6389;
2011;Anual;6472;
2012;Anual;5680;
2013;Anual;6022;
2014;Anual;6790;
2015;Anual;7353;
2016;Anual;7613;
2017;Anual;8161;
2018;Anual;6724;
2019;Anual;9300;
2020;Anual;9587;
2021;Anual;9265;
2022;Anual;9176;
2023;Anual;9417;
