El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Fuencarral - El Pardo;
2010;Anual;63994;
2011;Anual;68989;
2012;Anual;72060;
2013;Anual;80138;
2014;Anual;81791;
2015;Anual;86896;
2016;Anual;91507;
2017;Anual;98565;
2018;Anual;99858;
2019;Anual;112268;
2020;Anual;117359;
2021;Anual;113619;
2022;Anual;138957;
2023;Anual;145497;
