El municipio en cifras
Afiliaciones de residentes a la Seguridad Social por sexo
Año;Periodos;Hombres;Mujeres;
2013;Anual;42.515;44.935;
2014;Anual;38.063;40.257;
2015;Anual;38.097;40.377;
2016;Anual;43.224;45.590;
2017;Anual;45.278;47.563;
2018;Anual;45.480;47.896;
2019;Anual;46.963;49.634;
2020;Anual;47.834;50.169;
2021;Anual;47.802;50.118;
2022;Anual;48.674;50.973;
2023;Anual;48.912;51.058;
