El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Moncloa - Aravaca;
2013;Anual;40675;
2014;Anual;36051;
2015;Anual;36071;
2016;Anual;41422;
2017;Anual;43383;
2018;Anual;43488;
2019;Anual;44862;
2020;Anual;45817;
2021;Anual;46112;
2022;Anual;47156;
2023;Anual;47647;
