El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Moncloa - Aravaca;
2010;Anual;5246;
2011;Anual;5359;
2012;Anual;4614;
2013;Anual;4850;
2014;Anual;5527;
2015;Anual;5949;
2016;Anual;6041;
2017;Anual;6528;
2018;Anual;5183;
2019;Anual;7371;
2020;Anual;7627;
2021;Anual;7414;
2022;Anual;7356;
2023;Anual;7459;
