El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Moncloa - Aravaca;Madrid;
2013;Anual;34,8;39;
2014;Anual;31,2;39,2;
2015;Anual;31,1;39,9;
2016;Anual;35,5;40,8;
2017;Anual;37,1;42,1;
2018;Anual;36,9;42,8;
2019;Anual;37,6;43,9;
2020;Anual;37,7;44,1;
2021;Anual;38,2;43,4;
2022;Anual;39,2;45,4;
2023;Anual;39,1;45,9;
