El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Moncloa - Aravaca;
2010;Anual;70985;
2011;Anual;69440;
2012;Anual;73246;
2013;Anual;77334;
2014;Anual;94887;
2015;Anual;98291;
2016;Anual;96803;
2017;Anual;99497;
2018;Anual;99054;
2019;Anual;102250;
2020;Anual;107902;
2021;Anual;106845;
2022;Anual;110953;
2023;Anual;114572;
