El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Moncloa - Aravaca;Madrid;
2013;Anual;51879,5103423874;36591,6633285965;
2014;Anual;54589,59;37231,15;
2015;Anual;56443,7887029751;38534,6170377993;
2016;Anual;57423;39613;
2017;Anual;58965;40195;
2018;Anual;64066;42283;
2019;Anual;62482;43393;
2020;Anual;62202;43003;
2021;Anual;63205;43953;
2022;Anual;68238;46651;
