El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;372;3.219;2.710;
2013;Enero;373;3.278;2.789;
2013;Febrero;413;3.292;2.765;
2013;Marzo;406;3.294;2.805;
2013;Abril;409;3.220;2.845;
2013;Mayo;375;3.093;2.851;
2013;Junio;296;2.972;2.852;
2013;Julio;270;2.970;2.914;
2013;Agosto;274;3.031;2.958;
2013;Septiembre;316;2.980;2.974;
2013;Octubre;344;2.970;2.960;
2013;Noviembre;328;2.905;2.917;
2013;Diciembre;303;2.839;2.898;
2014;Enero;311;2.884;2.892;
2014;Febrero;298;2.876;2.905;
2014;Marzo;309;2.825;2.910;
2014;Abril;298;2.746;2.893;
2014;Mayo;289;2.620;2.880;
2014;Junio;236;2.550;2.871;
2014;Julio;284;2.642;2.880;
2014;Agosto;298;2.650;2.918;
2014;Septiembre;324;2.554;2.869;
2014;Octubre;343;2.575;2.869;
2014;Noviembre;349;2.538;2.835;
2014;Diciembre;297;2.447;2.824;
2015;Enero;287;2.503;2.850;
2015;Febrero;298;2.528;2.869;
2015;Marzo;294;2.455;2.873;
2015;Abril;275;2.391;2.825;
2015;Mayo;251;2.281;2.735;
2015;Junio;236;2.212;2.694;
2015;Julio;226;2.222;2.678;
2015;Agosto;243;2.295;2.721;
2015;Septiembre;291;2.199;2.665;
2015;Octubre;313;2.200;2.673;
2015;Noviembre;291;2.172;2.663;
2015;Diciembre;244;2.141;2.658;
2016;Enero;258;2.216;2.698;
2016;Febrero;284;2.205;2.675;
2016;Marzo;263;2.187;2.682;
2016;Abril;233;2.099;2.667;
2016;Mayo;221;2.039;2.653;
2016;Junio;215;1.990;2.620;
2016;Julio;209;1.980;2.639;
2016;Agosto;222;2.041;2.613;
2016;Septiembre;250;1.945;2.602;
2016;Octubre;245;1.897;2.572;
2016;Noviembre;274;1.894;2.531;
2016;Diciembre;226;1.883;2.485;
2017;Enero;224;1.902;2.504;
2017;Febrero;224;1.873;2.466;
2017;Marzo;244;1.834;2.436;
2017;Abril;231;1.790;2.410;
2017;Mayo;220;1.783;2.384;
2017;Junio;215;1.817;2.399;
2017;Julio;223;1.816;2.414;
2017;Agosto;246;1.897;2.429;
2017;Septiembre;282;1.822;2.410;
2017;Octubre;293;1.791;2.387;
2017;Noviembre;272;1.728;2.371;
2017;Diciembre;251;1.673;2.363;
2018;Enero;225;1.767;2.359;
2018;Febrero;252;1.770;2.386;
2018;Marzo;266;1.717;2.360;
2018;Abril;254;1.693;2.356;
2018;Mayo;238;1.631;2.308;
2018;Junio;195;1.619;2.275;
2018;Julio;219;1.616;2.355;
2018;Agosto;226;1.640;2.380;
2018;Septiembre;238;1.599;2.352;
2018;Octubre;268;1.589;2.290;
2018;Noviembre;240;1.577;2.273;
2018;Diciembre;225;1.557;2.249;
2019;Enero;210;1.597;2.275;
2019;Febrero;221;1.593;2.284;
2019;Marzo;228;1.589;2.282;
2019;Abril;200;1.537;2.281;
2019;Mayo;194;1.451;2.267;
2019;Junio;158;1.453;2.243;
2019;Julio;171;1.510;2.224;
2019;Agosto;191;1.586;2.312;
2019;Septiembre;201;1.536;2.312;
2019;Octubre;216;1.489;2.322;
2019;Noviembre;234;1.508;2.337;
2019;Diciembre;195;1.500;2.359;
2020;Enero;216;1.561;2.368;
2020;Febrero;246;1.578;2.367;
2020;Marzo;270;1.604;2.391;
2020;Abril;312;1.897;2.507;
2020;Mayo;312;2.026;2.563;
2020;Junio;271;2.126;2.568;
2020;Julio;312;2.196;2.615;
2020;Agosto;358;2.252;2.641;
2020;Septiembre;341;2.150;2.650;
2020;Octubre;361;2.193;2.710;
2020;Noviembre;367;2.171;2.700;
2020;Diciembre;354;2.145;2.728;
2021;Enero;330;2.169;2.779;
2021;Febrero;336;2.173;2.825;
2021;Marzo;328;2.133;2.807;
2021;Abril;321;2.087;2.791;
2021;Mayo;267;2.015;2.779;
2021;Junio;252;1.996;2.756;
2021;Julio;244;1.968;2.716;
2021;Agosto;262;1.988;2.740;
2021;Septiembre;245;1.914;2.682;
2021;Octubre;241;1.774;2.635;
2021;Noviembre;235;1.744;2.609;
2021;Diciembre;175;1.564;2.490;
2022;Enero;148;1.478;2.399;
2022;Febrero;147;1.398;2.308;
2022;Marzo;150;1.349;2.355;
2022;Abril;159;1.225;2.313;
2022;Mayo;111;1.168;2.211;
2022;Junio;130;1.151;2.149;
2022;Julio;126;1.254;2.211;
2022;Agosto;126;1.254;2.211;
2022;Septiembre;148;1.239;2.213;
2022;Octubre;149;1.186;2.165;
2022;Noviembre;143;1.201;2.129;
2022;Diciembre;123;1.165;2.122;
2023;Enero;149;1.223;2.161;
2023;Febrero;159;1.202;2.154;
2023;Marzo;161;1.200;2.153;
2023;Abril;150;1.204;2.146;
2023;Mayo;140;1.132;2.178;
2023;Junio;130;1.151;2.175;
2023;Julio;141;1.172;2.201;
2023;Agosto;160;1.179;2.208;
2023;Septiembre;159;1.170;2.172;
2023;Octubre;163;1.181;2.157;
2023;Noviembre;150;1.174;2.089;
2023;Diciembre;159;1.183;2.100;
2024;Enero;178;1.200;2.106;
2024;Febrero;181;1.187;2.133;
2024;Marzo;168;1.190;2.114;
2024;Abril;134;1.113;2.075;
2024;Mayo;140;1.150;2.085;
2024;Junio;146;1.138;2.053;
2024;Julio;154;1.145;2.072;
2024;Agosto;151;1.178;2.053;
2024;Septiembre;168;1.144;2.043;
2024;Octubre;165;1.159;2.045;
2024;Noviembre;146;1.266;1.947;
2024;Diciembre;140;1.173;2.026;
2025;Enero;147;1.130;2.056;
2025;Febrero;149;1.199;2.049;
2025;Marzo;148;1.170;2.097;
2025;Abril;113;1.156;2.065;
2025;Mayo;123;1.092;2.048;
2025;Junio;118;1.065;2.012;
2025;Julio;105;1.139;2.026;
2025;Agosto;130;1.136;2.064;
2025;Septiembre;148;1.141;2.017;
2025;Octubre;174;1.155;1.992;
2025;Noviembre;151;1.163;1.994;
2025;Diciembre;149;1.151;1.998;
2026;Enero;156;1.142;2.052;
2026;Febrero;169;1.120;2.032;
