El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Moratalaz;Madrid;
2013;Anual;33826,3541089854;36591,6633285965;
2014;Anual;33808,31;37231,15;
2015;Anual;34753,3310919634;38534,6170377993;
2016;Anual;35059;39613;
2017;Anual;35514;40195;
2018;Anual;36755;42283;
2019;Anual;37951;43393;
2020;Anual;37890;43003;
2021;Anual;38421;43953;
2022;Anual;40325;46651;
