El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Moratalaz;
2013;Anual;32985;
2014;Anual;29107;
2015;Anual;29316;
2016;Anual;32966;
2017;Anual;33950;
2018;Anual;34434;
2019;Anual;35371;
2020;Anual;35705;
2021;Anual;35353;
2022;Anual;36024;
2023;Anual;35957;
