El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Moratalaz;
2010;Anual;8081;
2011;Anual;8222;
2012;Anual;7718;
2013;Anual;9570;
2014;Anual;10114;
2015;Anual;11117;
2016;Anual;11604;
2017;Anual;11871;
2018;Anual;11889;
2019;Anual;12555;
2020;Anual;12887;
2021;Anual;12233;
2022;Anual;12515;
2023;Anual;12961;
