El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Moratalaz;Madrid;
2013;Anual;33,7;39;
2014;Anual;30,3;39,2;
2015;Anual;30,9;39,9;
2016;Anual;34,8;40,8;
2017;Anual;36;42,1;
2018;Anual;36,5;42,8;
2019;Anual;37,4;43,9;
2020;Anual;37,3;44,1;
2021;Anual;37,7;43,4;
2022;Anual;39;45,4;
2023;Anual;38,7;45,9;
