El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Moratalaz;
2010;Anual;2349;
2011;Anual;2411;
2012;Anual;2142;
2013;Anual;2209;
2014;Anual;2425;
2015;Anual;2553;
2016;Anual;2665;
2017;Anual;2854;
2018;Anual;2604;
2019;Anual;3146;
2020;Anual;3339;
2021;Anual;3189;
2022;Anual;3147;
2023;Anual;3202;
