addressID,address
231,calle de Velarde
232,calle del Salitre
233,"calle de Julián Besteiro, 35"
234,calle de Fuencarral
235,avenida de la Reina Victoria s/n
236,calle de Canarias
237,paseo de La Habana
238,"calle de San Florencio, 5"
239,plaza del Callao
240,calle de Jorge Juan
241,calle de Melchor Fernández Almagro
242,"calle de Trujillos, 9"
243,Barrio Vallehermoso
244,calle del Calvario
245,calle del Gasómetro
246,"paseo de la Dirección, 176"
247,calle de la Toronga
248,"calle de Churruca, 2"
249,calle de Tarragona
250,calle Calatrava
251,"calle de Londres, 39"
252,"calle de Núñez de Balboa, 19"
253,"paseo del Prado, 46"
254,"calle de Lagasca, 78"
255,avenida de Machupichu
256,calle de Londres
257,calle de las Huertas
258,Barrio Ibiza
259,calle de Hermosilla
260,"Montera, 44"
261,calle de las Margaritas
262,PS IRUN
263,CL COLEGIATA
264,"via Gran Vía, 47"
265,"calle de Aceuchal, 14"
266,"calle de San Vicente Ferrer, 60"
267,"avenida de la Ciudad de Barcelona, 45"
268,"paseo de la Castellana, 249"
269,calle de las Naves
270,calle de Pedro Rico
271,Almagro
272,calle de Rabat
273,calle de los Cañizares
274,calle de Goya
275,calle de Quero
276,CL REYES MAGOS
277,calle de San Bartolomé
278,"CL ALCANTARA, 57"
279,calle de Clara del Rey
280,"calle de Lagasca, 67"
281,calle del Doctor Fourquet
282,"calle del Pez, 28"
283,"CL SOMBRERERIA, 5"
284,"calle de las Virtudes, 14"
285,calle de Tribaldos
286,calle de las Dos Hermanas
287,"plaza Ciudad de Viena, 6"
288,calle de San Ernesto
289,Barrio Ventilla-Almenara
290,calle del Corazón de María
291,travesía del Almendro
292,Hortaleza
293,calle de María de Molina
294,calle de Fernández de los Ríos
295,"calle de Ocaña, 61"
296,"calle de Pedro Antonio de Alarcón, 24"
297,calle de Vallehermoso
298,calle Gran Vía
299,calle del Conde Duque
300,"calle de José Ortega y Gasset, 90"
301,calle de Luis Cabrera
302,calle de Juan Álvarez Mendizábal
303,"calle de la Pasa, 4"
304,calle de Guzmán el Bueno
305,Barrio Fuente del Berro
306,"CL SANTA VIRGILIA, 16"
307,calle de Juan de Olías
308,calle de Fernando Higueras
309,calle de Dulce Chacón
310,calle de los Arcos
311,"calle de Juan Bravo, 67"
312,calle de María de Guzmán
313,"calle de Martínez Izquierdo, 29"
314,calle de Augusto Figueroa
315,calle de Carretas
316,"calle de José Ortega y Gasset, 64"
317,calle de Cristóbal Bordiú
318,"avenida de Manoteras, 38"
319,"CL TORRECILLA DEL LEAL, 17"
320,calle del Doctor Esquerdo
321,calle Saliente
322,calle de Pedro Barreda
323,"calle de Orense, 29"
324,calle del Pilar de Zaragoza
325,calle Encomienda
326,CL LUIS DE SALAZAR
327,Barrio Adelfas
328,calle Fernández de la Hoz
329,calle de Silva
330,calle de Agustín Durán
331,calle de Antonio Gades
332,calle de San Vicente Ferrer
333,"calle de San Benito, 2"
334,CL BAILEN
335,calle de Bailén
336,calle del Pinar
337,calle de la Iglesia
338,"calle de Rafael Herrera, 9"
339,calle de Sancho Dávila
340,calle de Eugenio Salazar
341,calle de Embajadores
342,calle de Julián Besteiro
343,calle de María Reiche
344,paseo de Juan Antonio Vallejo-Nájera Botas
345,"calle de Agustín de Foxá, 26"
346,Barrio Chueca-Justicia
347,"avenida del General Perón, 32"
348,calle de Menorca
349,calle del Padre Jesús Ordóñez
350,avenida de Felipe II
351,"calle de la Coruña, 20"
352,calle de Ponzano
353,calle del Maestro Ripoll
354,calle de Carlos Arniches
355,CL VIRTUDES
356,calle de Ríos Rosas
357,calle de Eloy Gonzalo
358,calle de Colomer
359,CL MARCENADO
360,calle de Fortuny
361,"calle de Joaquín María López, 17"
