40.43317356, -3.70406885
40.45676998, -3.5879939
40.39981891, -3.67165
40.38790202, -3.74587388
40.45142105, -3.67243204
40.3932127 , -3.7038487
40.46254508, -3.78977289
40.38972359, -3.63967676
40.35223846, -3.69489022
40.48507253, -3.66059601
40.37053363, -3.59565436
40.45855778, -3.69693556
40.4276837 , -3.67849302
40.43247485, -3.65520807
40.46828241, -3.63206893
40.41512806, -3.70452575
40.47474479, -3.72752287
40.40187027, -3.55393013
40.49299326, -3.69633026
40.43090423, -3.61912509
