El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Usera;
2010;Anual;3896;
2011;Anual;3787;
2012;Anual;3298;
2013;Anual;3415;
2014;Anual;3669;
2015;Anual;3888;
2016;Anual;4047;
2017;Anual;4273;
2018;Anual;3447;
2019;Anual;4873;
2020;Anual;5198;
2021;Anual;4982;
2022;Anual;4955;
2023;Anual;5151;
