El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Usera;Madrid;
2013;Anual;33,3;39;
2014;Anual;29,4;39,2;
2015;Anual;29,9;39,9;
2016;Anual;34,3;40,8;
2017;Anual;36,7;42,1;
2018;Anual;36,6;42,8;
2019;Anual;37,6;43,9;
2020;Anual;37,5;44,1;
2021;Anual;37,1;43,4;
2022;Anual;39,5;45,4;
2023;Anual;39,1;45,9;
