El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Usera;Madrid;
2005;Anual;19,23;18,62;
2006;Anual;18,94;18,74;
2007;Anual;18,5;18,76;
2008;Anual;17,94;18,58;
2009;Anual;17,68;18,58;
2010;Anual;17,53;18,77;
2011;Anual;17,63;19,04;
2012;Anual;17,78;19,36;
2013;Anual;17,99;19,67;
2014;Anual;18,26;20,18;
2015;Anual;18,28;20,49;
2016;Anual;17,95;20,46;
2017;Anual;17,7;20,46;
2018;Anual;17,41;20,39;
2019;Anual;17,08;20,26;
2020;Anual;16,69;20,06;
2021;Anual;16,47;20,03;
2022;Anual;16,69;20,28;
2023;Anual;16,54;20,2;
2024;Anual;16,22;19,97;
2025;Anual;16,1;20,01;
