El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Usera;Madrid;
2013;Anual;24480,6467897639;36591,6633285965;
2014;Anual;24256,21;37231,15;
2015;Anual;25569,0023826602;38534,6170377993;
2016;Anual;25954;39613;
2017;Anual;26501;40195;
2018;Anual;27674;42283;
2019;Anual;29061;43393;
2020;Anual;28770;43003;
2021;Anual;30023;43953;
2022;Anual;31996;46651;
