El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Usera;
2010;Anual;20481;
2011;Anual;23263;
2012;Anual;21871;
2013;Anual;20546;
2014;Anual;21191;
2015;Anual;22402;
2016;Anual;23453;
2017;Anual;23373;
2018;Anual;28441;
2019;Anual;32735;
2020;Anual;30908;
2021;Anual;24170;
2022;Anual;24945;
2023;Anual;28379;
