El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Usera;
2013;Anual;45331;
2014;Anual;39271;
2015;Anual;39632;
2016;Anual;46002;
2017;Anual;49448;
2018;Anual;50100;
2019;Anual;52433;
2020;Anual;53623;
2021;Anual;52852;
2022;Anual;55575;
2023;Anual;55824;
