El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Latina;
2010;Anual;7144;
2011;Anual;7153;
2012;Anual;6181;
2013;Anual;6530;
2014;Anual;7201;
2015;Anual;7384;
2016;Anual;7557;
2017;Anual;8098;
2018;Anual;6719;
2019;Anual;8913;
2020;Anual;9171;
2021;Anual;8779;
2022;Anual;8543;
2023;Anual;8662;
