El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Latina;Madrid;
2013;Anual;29114,7134405079;36591,6633285965;
2014;Anual;29073,5;37231,15;
2015;Anual;30155,7425295723;38534,6170377993;
2016;Anual;30490;39613;
2017;Anual;30847;40195;
2018;Anual;31872;42283;
2019;Anual;33237;43393;
2020;Anual;32957;43003;
2021;Anual;33790;43953;
2022;Anual;35669;46651;
