El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Latina;
2013;Anual;81146;
2014;Anual;71071;
2015;Anual;71394;
2016;Anual;81345;
2017;Anual;84683;
2018;Anual;85984;
2019;Anual;89380;
2020;Anual;90644;
2021;Anual;89645;
2022;Anual;92981;
2023;Anual;92606;
