El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Latina;
2010;Anual;23707;
2011;Anual;26534;
2012;Anual;25399;
2013;Anual;26861;
2014;Anual;27903;
2015;Anual;28699;
2016;Anual;29194;
2017;Anual;30154;
2018;Anual;29516;
2019;Anual;32700;
2020;Anual;32836;
2021;Anual;30763;
2022;Anual;32584;
2023;Anual;33902;
