El municipio en cifras
Población
Año;Periodos;Ciudad Lineal;
1987;Anual;229320;
1988;Anual;229571;
1989;Anual;229733;
1990;Anual;230613;
1991;Anual;225474;
1992;Anual;225960;
1993;Anual;226608;
1994;Anual;226387;
1995;Anual;225128;
1996;Anual;213705;
1997;Anual;214554;
1998;Anual;215402;
1999;Anual;214924;
2000;Anual;214807;
2001;Anual;223745;
2002;Anual;227799;
2003;Anual;232846;
2004;Anual;233730;
2005;Anual;231029;
2006;Anual;231364;
2007;Anual;226805;
2008;Anual;228171;
2009;Anual;229290;
2010;Anual;228835;
2011;Anual;225789;
2012;Anual;222586;
2013;Anual;219013;
2014;Anual;214256;
2015;Anual;211736;
2016;Anual;212431;
2017;Anual;212529;
2018;Anual;214463;
2019;Anual;216270;
2020;Anual;219867;
2021;Anual;216818;
2022;Anual;213905;
2023;Anual;220345;
2024;Anual;230035;
2025;Anual;234075;
