El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;7.946;7.837;
2013;Enero;8.163;8.095;
2013;Febrero;8.356;8.198;
2013;Marzo;8.366;8.260;
2013;Abril;8.226;8.294;
2013;Mayo;8.089;8.132;
2013;Junio;7.918;7.973;
2013;Julio;7.801;8.142;
2013;Agosto;7.761;8.150;
2013;Septiembre;7.915;8.106;
2013;Octubre;8.041;8.203;
2013;Noviembre;8.000;8.177;
2013;Diciembre;7.856;7.876;
2014;Enero;7.878;8.007;
2014;Febrero;8.013;8.050;
2014;Marzo;8.017;8.096;
2014;Abril;7.819;7.953;
2014;Mayo;7.588;7.720;
2014;Junio;7.383;7.591;
2014;Julio;7.401;7.846;
2014;Agosto;7.452;7.932;
2014;Septiembre;7.481;7.830;
2014;Octubre;7.533;7.893;
2014;Noviembre;7.414;7.814;
2014;Diciembre;7.243;7.516;
2015;Enero;7.340;7.730;
2015;Febrero;7.387;7.899;
2015;Marzo;7.353;7.827;
2015;Abril;7.186;7.656;
2015;Mayo;6.903;7.415;
2015;Junio;6.630;7.320;
2015;Julio;6.441;7.469;
2015;Agosto;6.427;7.521;
2015;Septiembre;6.449;7.452;
2015;Octubre;6.532;7.536;
2015;Noviembre;6.428;7.413;
2015;Diciembre;6.309;7.287;
2016;Enero;6.439;7.358;
2016;Febrero;6.490;7.386;
2016;Marzo;6.414;7.357;
2016;Abril;6.254;7.288;
2016;Mayo;6.095;7.100;
2016;Junio;5.821;7.046;
2016;Julio;5.680;7.018;
2016;Agosto;5.669;7.158;
2016;Septiembre;5.663;7.044;
2016;Octubre;5.718;6.997;
2016;Noviembre;5.642;6.869;
2016;Diciembre;5.559;6.644;
2017;Enero;5.717;6.734;
2017;Febrero;5.722;6.850;
2017;Marzo;5.642;6.831;
2017;Abril;5.443;6.640;
2017;Mayo;5.197;6.456;
2017;Junio;5.001;6.407;
2017;Julio;4.883;6.521;
2017;Agosto;4.940;6.595;
2017;Septiembre;4.964;6.561;
2017;Octubre;5.035;6.621;
2017;Noviembre;4.922;6.454;
2017;Diciembre;4.874;6.280;
2018;Enero;5.116;6.441;
2018;Febrero;5.129;6.444;
2018;Marzo;5.008;6.411;
2018;Abril;4.840;6.282;
2018;Mayo;4.672;5.999;
2018;Junio;4.511;5.919;
2018;Julio;4.422;5.994;
2018;Agosto;4.428;6.102;
2018;Septiembre;4.453;6.040;
2018;Octubre;4.524;5.919;
2018;Noviembre;4.400;5.836;
2018;Diciembre;4.349;5.675;
2019;Enero;4.500;5.947;
2019;Febrero;4.595;6.023;
2019;Marzo;4.567;5.963;
2019;Abril;4.414;5.834;
2019;Mayo;4.299;5.722;
2019;Junio;4.209;5.659;
2019;Julio;4.330;5.860;
2019;Agosto;4.394;5.927;
2019;Septiembre;4.402;5.824;
2019;Octubre;4.495;5.873;
2019;Noviembre;4.443;5.814;
2019;Diciembre;4.493;5.680;
2020;Enero;4.599;5.913;
2020;Febrero;4.607;5.860;
2020;Marzo;4.740;5.985;
2020;Abril;5.499;6.673;
2020;Mayo;5.723;7.079;
2020;Junio;5.564;7.188;
2020;Julio;5.601;7.447;
2020;Agosto;5.682;7.584;
2020;Septiembre;5.608;7.432;
2020;Octubre;5.695;7.434;
2020;Noviembre;5.753;7.414;
2020;Diciembre;5.843;7.421;
2021;Enero;6.027;7.575;
2021;Febrero;6.084;7.723;
2021;Marzo;5.990;7.636;
2021;Abril;5.925;7.536;
2021;Mayo;5.771;7.362;
2021;Junio;5.520;7.179;
2021;Julio;5.409;7.106;
2021;Agosto;5.365;7.142;
2021;Septiembre;5.282;6.960;
2021;Octubre;5.133;6.813;
2021;Noviembre;5.001;6.582;
2021;Diciembre;4.653;6.118;
2022;Enero;4.544;5.952;
2022;Febrero;4.272;5.697;
2022;Marzo;4.241;5.630;
2022;Abril;4.050;5.491;
2022;Mayo;3.885;5.226;
2022;Junio;3.809;5.162;
2022;Julio;3.752;5.178;
2022;Agosto;3.752;5.178;
2022;Septiembre;3.874;5.235;
2022;Octubre;3.857;5.270;
2022;Noviembre;3.857;5.190;
2022;Diciembre;3.824;5.024;
2023;Enero;3.956;5.176;
2023;Febrero;3.990;5.287;
2023;Marzo;3.973;5.309;
2023;Abril;3.939;5.213;
2023;Mayo;3.801;5.164;
2023;Junio;3.764;5.148;
2023;Julio;3.707;5.154;
2023;Agosto;3.738;5.167;
2023;Septiembre;3.785;5.176;
2023;Octubre;3.814;5.206;
2023;Noviembre;3.742;5.195;
2023;Diciembre;3.732;5.078;
2024;Enero;3.831;5.278;
2024;Febrero;3.851;5.297;
2024;Marzo;3.896;5.314;
2024;Abril;3.800;5.192;
2024;Mayo;3.744;5.161;
2024;Junio;3.648;5.077;
2024;Julio;3.631;5.105;
2024;Agosto;3.621;5.132;
2024;Septiembre;3.670;5.163;
2024;Octubre;3.681;5.126;
2024;Noviembre;4.027;5.331;
2024;Diciembre;3.716;5.008;
2025;Enero;3.817;5.116;
2025;Febrero;3.833;5.234;
2025;Marzo;3.775;5.114;
2025;Abril;3.738;5.117;
2025;Mayo;3.682;4.991;
2025;Junio;3.572;4.938;
2025;Julio;3.579;4.944;
2025;Agosto;3.632;5.006;
2025;Septiembre;3.569;4.974;
2025;Octubre;3.626;4.976;
2025;Noviembre;3.648;4.932;
2025;Diciembre;3.618;4.860;
2026;Enero;3.694;4.977;
2026;Febrero;3.774;5.023;
