El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Ciudad Lineal;Madrid;
2013;Anual;35531,5918465026;36591,6633285965;
2014;Anual;35885,1;37231,15;
2015;Anual;36832,9262802329;38534,6170377993;
2016;Anual;37421;39613;
2017;Anual;37621;40195;
2018;Anual;39425;42283;
2019;Anual;40948;43393;
2020;Anual;40532;43003;
2021;Anual;41311;43953;
2022;Anual;43738;46651;
