El municipio en cifras
Parados por grupos de edad
Año;Periodos;Menos de 25 años;Entre 25 y 44 años;Más de 44 años;
2012;Diciembre;967;7.859;6.957;
2013;Enero;976;8.072;7.210;
2013;Febrero;1.059;8.164;7.331;
2013;Marzo;1.054;8.187;7.385;
2013;Abril;1.036;8.059;7.425;
2013;Mayo;933;7.833;7.455;
2013;Junio;844;7.587;7.460;
2013;Julio;831;7.594;7.518;
2013;Agosto;859;7.476;7.576;
2013;Septiembre;960;7.487;7.574;
2013;Octubre;998;7.647;7.599;
2013;Noviembre;982;7.546;7.649;
2013;Diciembre;870;7.229;7.633;
2014;Enero;876;7.304;7.705;
2014;Febrero;896;7.401;7.766;
2014;Marzo;909;7.439;7.765;
2014;Abril;888;7.133;7.751;
2014;Mayo;870;6.838;7.600;
2014;Junio;835;6.595;7.544;
2014;Julio;915;6.698;7.634;
2014;Agosto;958;6.786;7.640;
2014;Septiembre;1.032;6.639;7.640;
2014;Octubre;1.064;6.644;7.718;
2014;Noviembre;1.012;6.555;7.661;
2014;Diciembre;844;6.347;7.568;
2015;Enero;857;6.561;7.652;
2015;Febrero;915;6.612;7.759;
2015;Marzo;915;6.523;7.742;
2015;Abril;899;6.333;7.610;
2015;Mayo;866;6.051;7.401;
2015;Junio;811;5.827;7.312;
2015;Julio;815;5.892;7.203;
2015;Agosto;819;5.921;7.208;
2015;Septiembre;940;5.867;7.094;
2015;Octubre;979;5.936;7.153;
2015;Noviembre;870;5.843;7.128;
2015;Diciembre;772;5.706;7.118;
2016;Enero;726;5.818;7.253;
2016;Febrero;771;5.875;7.230;
2016;Marzo;786;5.748;7.237;
2016;Abril;762;5.564;7.216;
2016;Mayo;722;5.384;7.089;
2016;Junio;671;5.230;6.966;
2016;Julio;665;5.134;6.899;
2016;Agosto;668;5.259;6.900;
2016;Septiembre;730;5.118;6.859;
2016;Octubre;773;5.096;6.846;
2016;Noviembre;747;4.923;6.841;
2016;Diciembre;663;4.777;6.763;
2017;Enero;663;4.928;6.860;
2017;Febrero;718;4.945;6.909;
2017;Marzo;698;4.932;6.843;
2017;Abril;712;4.739;6.632;
2017;Mayo;680;4.488;6.485;
2017;Junio;623;4.368;6.417;
2017;Julio;651;4.400;6.353;
2017;Agosto;694;4.510;6.331;
2017;Septiembre;746;4.461;6.318;
2017;Octubre;778;4.497;6.381;
2017;Noviembre;753;4.354;6.269;
2017;Diciembre;648;4.252;6.254;
2018;Enero;673;4.456;6.428;
2018;Febrero;744;4.385;6.444;
2018;Marzo;745;4.355;6.319;
2018;Abril;724;4.208;6.190;
2018;Mayo;639;4.010;6.022;
2018;Junio;607;3.864;5.959;
2018;Julio;623;3.870;5.923;
2018;Agosto;674;3.959;5.897;
2018;Septiembre;724;3.932;5.837;
2018;Octubre;668;3.953;5.822;
2018;Noviembre;628;3.877;5.731;
2018;Diciembre;581;3.770;5.673;
2019;Enero;624;3.987;5.836;
2019;Febrero;666;4.057;5.895;
2019;Marzo;663;3.982;5.885;
2019;Abril;633;3.858;5.757;
2019;Mayo;570;3.761;5.690;
2019;Junio;521;3.689;5.658;
2019;Julio;583;3.863;5.744;
2019;Agosto;599;3.863;5.859;
2019;Septiembre;634;3.750;5.842;
2019;Octubre;635;3.805;5.928;
2019;Noviembre;624;3.758;5.875;
2019;Diciembre;570;3.721;5.882;
2020;Enero;577;3.893;6.042;
2020;Febrero;610;3.857;6.000;
2020;Marzo;627;4.031;6.067;
2020;Abril;764;4.906;6.502;
2020;Mayo;828;5.255;6.719;
2020;Junio;791;5.223;6.738;
2020;Julio;821;5.370;6.857;
2020;Agosto;869;5.498;6.899;
2020;Septiembre;919;5.241;6.880;
2020;Octubre;947;5.212;6.970;
2020;Noviembre;967;5.237;6.963;
2020;Diciembre;961;5.284;7.019;
2021;Enero;945;5.444;7.213;
2021;Febrero;1.008;5.484;7.315;
2021;Marzo;1.010;5.323;7.293;
2021;Abril;984;5.227;7.250;
2021;Mayo;891;5.061;7.181;
2021;Junio;830;4.768;7.101;
2021;Julio;777;4.696;7.042;
2021;Agosto;788;4.709;7.010;
2021;Septiembre;787;4.488;6.967;
2021;Octubre;772;4.319;6.855;
2021;Noviembre;722;4.097;6.764;
2021;Diciembre;562;3.757;6.452;
2022;Enero;501;3.617;6.378;
2022;Febrero;478;3.387;6.104;
2022;Marzo;472;3.370;6.029;
2022;Abril;463;3.205;5.873;
2022;Mayo;424;3.078;5.609;
2022;Junio;449;2.972;5.550;
2022;Julio;395;3.001;5.534;
2022;Agosto;395;3.001;5.534;
2022;Septiembre;459;3.050;5.600;
2022;Octubre;478;2.992;5.657;
2022;Noviembre;451;2.995;5.601;
2022;Diciembre;409;2.879;5.560;
2023;Enero;475;3.012;5.645;
2023;Febrero;505;3.074;5.698;
2023;Marzo;534;3.085;5.663;
2023;Abril;474;3.042;5.636;
2023;Mayo;425;3.008;5.532;
2023;Junio;440;2.968;5.504;
2023;Julio;458;2.953;5.450;
2023;Agosto;465;3.027;5.413;
2023;Septiembre;509;3.012;5.440;
2023;Octubre;498;3.026;5.496;
2023;Noviembre;490;3.020;5.427;
2023;Diciembre;427;2.998;5.385;
2024;Enero;453;3.159;5.497;
2024;Febrero;520;3.153;5.475;
2024;Marzo;551;3.143;5.516;
2024;Abril;485;3.053;5.454;
2024;Mayo;465;3.053;5.387;
2024;Junio;463;2.916;5.346;
2024;Julio;475;2.973;5.288;
2024;Agosto;480;2.941;5.332;
2024;Septiembre;519;2.958;5.356;
2024;Octubre;497;3.015;5.295;
2024;Noviembre;601;3.252;5.505;
2024;Diciembre;419;3.002;5.303;
2025;Enero;445;3.121;5.367;
2025;Febrero;502;3.110;5.455;
2025;Marzo;492;3.112;5.285;
2025;Abril;465;3.121;5.269;
2025;Mayo;470;3.038;5.165;
2025;Junio;440;2.967;5.103;
2025;Julio;435;3.014;5.074;
2025;Agosto;453;3.093;5.092;
