El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Retiro;
2010;Anual;5007;
2011;Anual;5231;
2012;Anual;4567;
2013;Anual;4828;
2014;Anual;5333;
2015;Anual;5705;
2016;Anual;5713;
2017;Anual;6135;
2018;Anual;4783;
2019;Anual;6820;
2020;Anual;7089;
2021;Anual;6843;
2022;Anual;6764;
2023;Anual;6882;
