El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Retiro;Madrid;
2013;Anual;36,2;39;
2014;Anual;32,4;39,2;
2015;Anual;32,4;39,9;
2016;Anual;36,5;40,8;
2017;Anual;38,1;42,1;
2018;Anual;37,9;42,8;
2019;Anual;38,5;43,9;
2020;Anual;38,4;44,1;
2021;Anual;38,9;43,4;
2022;Anual;39,7;45,4;
2023;Anual;39,6;45,9;
