El municipio en cifras
Afiliaciones de residentes a la Seguridad Social
Año;Periodos;Retiro;
2013;Anual;43519;
2014;Anual;38440;
2015;Anual;38235;
2016;Anual;43235;
2017;Anual;45186;
2018;Anual;45141;
2019;Anual;45965;
2020;Anual;46267;
2021;Anual;46084;
2022;Anual;46739;
2023;Anual;46719;
