El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;3.011;3.444;
2013;Enero;3.087;3.585;
2013;Febrero;3.121;3.630;
2013;Marzo;3.158;3.624;
2013;Abril;3.068;3.551;
2013;Mayo;2.999;3.533;
2013;Junio;2.879;3.453;
2013;Julio;2.909;3.555;
2013;Agosto;2.934;3.567;
2013;Septiembre;2.939;3.556;
2013;Octubre;2.956;3.553;
2013;Noviembre;2.994;3.513;
2013;Diciembre;2.919;3.387;
2014;Enero;2.946;3.482;
2014;Febrero;2.934;3.445;
2014;Marzo;2.872;3.422;
2014;Abril;2.843;3.311;
2014;Mayo;2.758;3.238;
2014;Junio;2.651;3.150;
2014;Julio;2.664;3.281;
2014;Agosto;2.710;3.388;
2014;Septiembre;2.690;3.319;
2014;Octubre;2.719;3.254;
2014;Noviembre;2.693;3.169;
2014;Diciembre;2.613;3.120;
2015;Enero;2.648;3.113;
2015;Febrero;2.614;3.112;
2015;Marzo;2.579;3.065;
2015;Abril;2.513;3.071;
2015;Mayo;2.450;2.923;
2015;Junio;2.340;2.863;
2015;Julio;2.346;2.927;
2015;Agosto;2.341;3.056;
2015;Septiembre;2.300;2.983;
2015;Octubre;2.375;2.951;
2015;Noviembre;2.344;2.911;
2015;Diciembre;2.315;2.846;
2016;Enero;2.342;2.891;
2016;Febrero;2.312;2.878;
2016;Marzo;2.306;2.827;
2016;Abril;2.227;2.746;
2016;Mayo;2.184;2.684;
2016;Junio;2.126;2.662;
2016;Julio;2.123;2.754;
2016;Agosto;2.184;2.802;
2016;Septiembre;2.129;2.738;
2016;Octubre;2.108;2.698;
2016;Noviembre;2.115;2.647;
2016;Diciembre;2.101;2.602;
2017;Enero;2.134;2.639;
2017;Febrero;2.167;2.657;
2017;Marzo;2.127;2.597;
2017;Abril;2.090;2.534;
2017;Mayo;2.009;2.478;
2017;Junio;1.940;2.431;
2017;Julio;1.950;2.512;
2017;Agosto;1.981;2.523;
2017;Septiembre;2.001;2.548;
2017;Octubre;1.956;2.499;
2017;Noviembre;1.950;2.456;
2017;Diciembre;1.904;2.371;
2018;Enero;1.982;2.470;
2018;Febrero;1.992;2.495;
2018;Marzo;1.951;2.493;
2018;Abril;1.892;2.432;
2018;Mayo;1.864;2.387;
2018;Junio;1.785;2.360;
2018;Julio;1.805;2.372;
2018;Agosto;1.792;2.408;
2018;Septiembre;1.810;2.397;
2018;Octubre;1.797;2.373;
2018;Noviembre;1.748;2.328;
2018;Diciembre;1.739;2.284;
2019;Enero;1.753;2.321;
2019;Febrero;1.757;2.322;
2019;Marzo;1.748;2.319;
2019;Abril;1.773;2.290;
2019;Mayo;1.756;2.269;
2019;Junio;1.686;2.231;
2019;Julio;1.717;2.294;
2019;Agosto;1.752;2.372;
2019;Septiembre;1.732;2.350;
2019;Octubre;1.762;2.314;
2019;Noviembre;1.761;2.278;
2019;Diciembre;1.755;2.251;
2020;Enero;1.822;2.296;
2020;Febrero;1.787;2.310;
2020;Marzo;1.832;2.367;
2020;Abril;2.080;2.590;
2020;Mayo;2.168;2.736;
2020;Junio;2.177;2.743;
2020;Julio;2.187;2.795;
2020;Agosto;2.213;2.846;
2020;Septiembre;2.186;2.790;
2020;Octubre;2.181;2.777;
2020;Noviembre;2.137;2.753;
2020;Diciembre;2.159;2.716;
2021;Enero;2.200;2.811;
2021;Febrero;2.228;2.797;
2021;Marzo;2.196;2.776;
2021;Abril;2.198;2.787;
2021;Mayo;2.167;2.689;
2021;Junio;2.108;2.691;
2021;Julio;2.118;2.734;
2021;Agosto;2.102;2.771;
2021;Septiembre;2.043;2.702;
2021;Octubre;1.965;2.576;
2021;Noviembre;1.926;2.512;
2021;Diciembre;1.792;2.330;
2022;Enero;1.729;2.334;
2022;Febrero;1.599;2.201;
2022;Marzo;1.584;2.177;
2022;Abril;1.534;2.147;
2022;Mayo;1.411;2.011;
2022;Junio;1.428;1.955;
2022;Julio;1.412;2.041;
2022;Agosto;1.412;2.041;
2022;Septiembre;1.429;2.064;
2022;Octubre;1.420;2.054;
2022;Noviembre;1.364;2.001;
2022;Diciembre;1.343;1.950;
2023;Enero;1.372;2.012;
2023;Febrero;1.395;2.026;
2023;Marzo;1.401;1.999;
2023;Abril;1.326;1.937;
2023;Mayo;1.314;1.921;
2023;Junio;1.297;1.915;
2023;Julio;1.335;1.973;
2023;Agosto;1.389;1.981;
2023;Septiembre;1.318;1.953;
2023;Octubre;1.294;1.924;
2023;Noviembre;1.315;1.908;
2023;Diciembre;1.334;1.860;
2024;Enero;1.379;1.888;
2024;Febrero;1.341;1.869;
2024;Marzo;1.346;1.852;
2024;Abril;1.287;1.838;
2024;Mayo;1.256;1.796;
2024;Junio;1.247;1.764;
2024;Julio;1.258;1.791;
2024;Agosto;1.289;1.829;
2024;Septiembre;1.259;1.835;
2024;Octubre;1.243;1.828;
2024;Noviembre;1.400;1.628;
2024;Diciembre;1.236;1.710;
2025;Enero;1.201;1.705;
2025;Febrero;1.256;1.763;
2025;Marzo;1.301;1.889;
2025;Abril;1.276;1.855;
2025;Mayo;1.230;1.806;
2025;Junio;1.211;1.723;
2025;Julio;1.240;1.801;
2025;Agosto;1.270;1.862;
2025;Septiembre;1.272;1.869;
2025;Octubre;1.295;1.856;
2025;Noviembre;1.238;1.804;
2025;Diciembre;1.262;1.781;
2026;Enero;1.316;1.792;
2026;Febrero;1.299;1.789;
