El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Retiro;
2010;Anual;75277;
2011;Anual;79878;
2012;Anual;82245;
2013;Anual;85391;
2014;Anual;84424;
2015;Anual;89381;
2016;Anual;90946;
2017;Anual;92536;
2018;Anual;93075;
2019;Anual;98191;
2020;Anual;101984;
2021;Anual;99508;
2022;Anual;102232;
2023;Anual;98689;
