El municipio en cifras
Renta neta media por hogar (€)
Año;Periodos;Retiro;Madrid;
2013;Anual;48274,412351676;36591,6633285965;
2014;Anual;49979,54;37231,15;
2015;Anual;51789,9960709971;38534,6170377993;
2016;Anual;52963;39613;
2017;Anual;53111;40195;
2018;Anual;55775;42283;
2019;Anual;57027;43393;
2020;Anual;56302;43003;
2021;Anual;57448;43953;
2022;Anual;60762;46651;
