El municipio en cifras
Afiliaciones por lugar de trabajo al régimen especial de trabajadores autónomos
Año;Periodos;Chamberí;
2010;Anual;9463;
2011;Anual;9604;
2012;Anual;8268;
2013;Anual;8636;
2014;Anual;9689;
2015;Anual;10053;
2016;Anual;9830;
2017;Anual;10711;
2018;Anual;8206;
2019;Anual;11937;
2020;Anual;12377;
2021;Anual;11914;
2022;Anual;11848;
2023;Anual;12038;
