El municipio en cifras
Parados por sexo
Año;Periodos;Hombres;Mujeres;
2012;Diciembre;3.628;4.253;
2013;Enero;3.694;4.332;
2013;Febrero;3.750;4.319;
2013;Marzo;3.750;4.326;
2013;Abril;3.641;4.291;
2013;Mayo;3.617;4.294;
2013;Junio;3.519;4.179;
2013;Julio;3.526;4.234;
2013;Agosto;3.520;4.216;
2013;Septiembre;3.509;4.121;
2013;Octubre;3.521;4.107;
2013;Noviembre;3.458;4.119;
2013;Diciembre;3.412;4.004;
2014;Enero;3.513;4.146;
2014;Febrero;3.474;4.063;
2014;Marzo;3.482;3.995;
2014;Abril;3.365;3.870;
2014;Mayo;3.240;3.824;
2014;Junio;3.101;3.754;
2014;Julio;3.118;3.939;
2014;Agosto;3.092;3.942;
2014;Septiembre;3.125;3.854;
2014;Octubre;3.166;3.842;
2014;Noviembre;3.108;3.774;
2014;Diciembre;3.099;3.686;
2015;Enero;3.114;3.726;
2015;Febrero;3.171;3.711;
2015;Marzo;3.106;3.687;
2015;Abril;3.035;3.597;
2015;Mayo;2.922;3.521;
2015;Junio;2.733;3.395;
2015;Julio;2.722;3.466;
2015;Agosto;2.771;3.567;
2015;Septiembre;2.773;3.435;
2015;Octubre;2.767;3.465;
2015;Noviembre;2.715;3.440;
2015;Diciembre;2.720;3.391;
2016;Enero;2.769;3.453;
2016;Febrero;2.766;3.448;
2016;Marzo;2.731;3.422;
2016;Abril;2.667;3.358;
2016;Mayo;2.581;3.292;
2016;Junio;2.511;3.232;
2016;Julio;2.472;3.293;
2016;Agosto;2.476;3.351;
2016;Septiembre;2.449;3.223;
2016;Octubre;2.457;3.141;
2016;Noviembre;2.437;3.144;
2016;Diciembre;2.417;3.049;
2017;Enero;2.425;3.124;
2017;Febrero;2.450;3.125;
2017;Marzo;2.409;3.052;
2017;Abril;2.304;2.961;
2017;Mayo;2.268;2.914;
2017;Junio;2.200;2.901;
2017;Julio;2.237;2.938;
2017;Agosto;2.244;3.051;
2017;Septiembre;2.272;2.995;
2017;Octubre;2.245;2.983;
2017;Noviembre;2.228;2.939;
2017;Diciembre;2.196;2.902;
2018;Enero;2.304;2.947;
2018;Febrero;2.314;2.927;
2018;Marzo;2.272;2.893;
2018;Abril;2.188;2.816;
2018;Mayo;2.123;2.793;
2018;Junio;2.030;2.733;
2018;Julio;2.070;2.732;
2018;Agosto;2.098;2.797;
2018;Septiembre;2.089;2.785;
2018;Octubre;2.029;2.776;
2018;Noviembre;2.008;2.716;
2018;Diciembre;2.013;2.671;
2019;Enero;2.068;2.710;
2019;Febrero;2.041;2.738;
2019;Marzo;2.046;2.687;
2019;Abril;1.977;2.595;
2019;Mayo;1.918;2.569;
2019;Junio;1.877;2.601;
2019;Julio;1.968;2.695;
2019;Agosto;1.902;2.684;
2019;Septiembre;1.858;2.688;
2019;Octubre;1.913;2.711;
2019;Noviembre;1.913;2.699;
2019;Diciembre;1.967;2.676;
2020;Enero;2.041;2.757;
2020;Febrero;2.077;2.755;
2020;Marzo;2.137;2.823;
2020;Abril;2.402;3.139;
2020;Mayo;2.510;3.291;
2020;Junio;2.506;3.340;
2020;Julio;2.566;3.459;
2020;Agosto;2.550;3.492;
2020;Septiembre;2.490;3.380;
2020;Octubre;2.589;3.404;
2020;Noviembre;2.595;3.368;
2020;Diciembre;2.632;3.352;
2021;Enero;2.617;3.405;
2021;Febrero;2.653;3.448;
2021;Marzo;2.557;3.407;
2021;Abril;2.578;3.369;
2021;Mayo;2.479;3.257;
2021;Junio;2.429;3.227;
2021;Julio;2.386;3.259;
2021;Agosto;2.369;3.318;
2021;Septiembre;2.308;3.225;
2021;Octubre;2.266;3.025;
2021;Noviembre;2.214;2.942;
2021;Diciembre;2.000;2.763;
2022;Enero;1.930;2.664;
2022;Febrero;1.822;2.496;
2022;Marzo;1.774;2.478;
2022;Abril;1.722;2.427;
2022;Mayo;1.653;2.302;
2022;Junio;1.639;2.349;
2022;Julio;1.589;2.334;
2022;Agosto;1.589;2.334;
2022;Septiembre;1.582;2.288;
2022;Octubre;1.575;2.289;
2022;Noviembre;1.595;2.251;
2022;Diciembre;1.546;2.184;
2023;Enero;1.623;2.217;
2023;Febrero;1.644;2.263;
2023;Marzo;1.659;2.241;
2023;Abril;1.611;2.195;
2023;Mayo;1.585;2.188;
2023;Junio;1.565;2.156;
2023;Julio;1.592;2.194;
2023;Agosto;1.619;2.213;
2023;Septiembre;1.596;2.267;
2023;Octubre;1.594;2.224;
2023;Noviembre;1.589;2.234;
2023;Diciembre;1.596;2.217;
2024;Enero;1.643;2.293;
2024;Febrero;1.663;2.252;
2024;Marzo;1.656;2.232;
2024;Abril;1.655;2.217;
2024;Mayo;1.587;2.108;
2024;Junio;1.559;2.121;
2024;Julio;1.608;2.145;
2024;Agosto;1.589;2.229;
2024;Septiembre;1.562;2.234;
2024;Octubre;1.496;2.182;
2024;Noviembre;2.023;2.563;
2024;Diciembre;1.655;2.248;
2025;Enero;1.654;2.298;
2025;Febrero;1.612;2.224;
2025;Marzo;1.540;2.204;
2025;Abril;1.534;2.162;
2025;Mayo;1.466;2.111;
2025;Junio;1.433;2.077;
2025;Julio;1.491;2.100;
2025;Agosto;1.507;2.157;
2025;Septiembre;1.460;2.147;
2025;Octubre;1.482;2.155;
2025;Noviembre;1.480;2.133;
2025;Diciembre;1.493;2.163;
2026;Enero;1.527;2.176;
2026;Febrero;1.565;2.159;
