El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Chamberí;
2010;Anual;131192;
2011;Anual;128003;
2012;Anual;123552;
2013;Anual;129384;
2014;Anual;126210;
2015;Anual;123092;
2016;Anual;127329;
2017;Anual;133779;
2018;Anual;132944;
2019;Anual;140766;
2020;Anual;148801;
2021;Anual;144662;
2022;Anual;153547;
2023;Anual;169250;
