El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Chamberí;Madrid;
2013;Anual;35,7;39;
2014;Anual;32;39,2;
2015;Anual;31,9;39,9;
2016;Anual;36,6;40,8;
2017;Anual;38,9;42,1;
2018;Anual;38,5;42,8;
2019;Anual;39,3;43,9;
2020;Anual;39,8;44,1;
2021;Anual;40,5;43,4;
2022;Anual;41,3;45,4;
2023;Anual;41,2;45,9;
