El municipio en cifras
Afiliaciones a la Seguridad Social por lugar de trabajo
Año;Periodos;Villa de Vallecas;
2010;Anual;14706;
2011;Anual;15288;
2012;Anual;14847;
2013;Anual;20430;
2014;Anual;20877;
2015;Anual;24371;
2016;Anual;27887;
2017;Anual;28685;
2018;Anual;30117;
2019;Anual;34440;
2020;Anual;36079;
2021;Anual;37520;
2022;Anual;41604;
2023;Anual;44588;
