El municipio en cifras
Afiliaciones de residentes sobre la población de 16 a 64 años (%)
Año;Periodos;Villa de Vallecas;Madrid;
2013;Anual;40,1;39;
2014;Anual;36,1;39,2;
2015;Anual;36;39,9;
2016;Anual;40,6;40,8;
2017;Anual;42,8;42,1;
2018;Anual;42,1;42,8;
2019;Anual;43,2;43,9;
2020;Anual;43;44,1;
2021;Anual;43,5;43,4;
2022;Anual;45;45,4;
2023;Anual;44,3;45,9;
